timestamp,platform,mode,payload_size_kb,elapsed_s,memory_mb,measurement_scope
2026-06-11T10:36:56Z,m1_dockerdesktop,container,1024,1.55,78.38,docker_stats_container_only
2026-06-11T10:36:58Z,m1_dockerdesktop,container,1024,3.57,78.38,docker_stats_container_only
2026-06-11T10:37:00Z,m1_dockerdesktop,container,1024,5.58,78.18,docker_stats_container_only
2026-06-11T10:37:02Z,m1_dockerdesktop,container,1024,7.59,77.95,docker_stats_container_only
2026-06-11T10:37:04Z,m1_dockerdesktop,container,1024,9.61,77.94,docker_stats_container_only
2026-06-11T10:37:06Z,m1_dockerdesktop,container,1024,11.63,77.94,docker_stats_container_only
2026-06-11T10:37:08Z,m1_dockerdesktop,container,1024,13.63,77.94,docker_stats_container_only
2026-06-11T10:37:10Z,m1_dockerdesktop,container,1024,15.66,77.94,docker_stats_container_only
2026-06-11T10:37:12Z,m1_dockerdesktop,container,1024,17.68,77.94,docker_stats_container_only
2026-06-11T10:37:14Z,m1_dockerdesktop,container,1024,19.71,77.94,docker_stats_container_only
2026-06-11T10:52:39Z,m1_dockerdesktop,container,1024,21.74,77.94,docker_stats_container_only
2026-06-11T10:52:41Z,m1_dockerdesktop,container,1024,23.76,77.94,docker_stats_container_only
2026-06-11T10:52:43Z,m1_dockerdesktop,container,1024,25.77,77.94,docker_stats_container_only
2026-06-11T10:52:45Z,m1_dockerdesktop,container,1024,27.79,77.94,docker_stats_container_only
2026-06-11T10:52:47Z,m1_dockerdesktop,container,1024,29.81,77.94,docker_stats_container_only
2026-06-11T10:52:49Z,m1_dockerdesktop,container,1024,31.82,77.94,docker_stats_container_only
2026-06-11T10:52:51Z,m1_dockerdesktop,container,1024,33.84,77.94,docker_stats_container_only
2026-06-11T10:52:53Z,m1_dockerdesktop,container,1024,35.85,77.94,docker_stats_container_only
2026-06-11T10:52:55Z,m1_dockerdesktop,container,1024,37.87,77.94,docker_stats_container_only
2026-06-11T10:52:57Z,m1_dockerdesktop,container,1024,39.89,77.94,docker_stats_container_only
2026-06-11T10:52:59Z,m1_dockerdesktop,container,1024,41.91,77.94,docker_stats_container_only
2026-06-11T10:53:01Z,m1_dockerdesktop,container,1024,43.94,77.94,docker_stats_container_only
2026-06-11T10:53:03Z,m1_dockerdesktop,container,1024,45.95,77.94,docker_stats_container_only
2026-06-11T10:53:05Z,m1_dockerdesktop,container,1024,47.98,77.94,docker_stats_container_only
2026-06-11T10:53:07Z,m1_dockerdesktop,container,1024,50.01,77.94,docker_stats_container_only
2026-06-11T11:10:39Z,m1_dockerdesktop,container,1024,52.02,77.94,docker_stats_container_only
2026-06-11T11:10:41Z,m1_dockerdesktop,container,1024,54.05,77.94,docker_stats_container_only
2026-06-11T11:10:43Z,m1_dockerdesktop,container,1024,56.05,77.94,docker_stats_container_only
2026-06-11T11:28:08Z,m1_dockerdesktop,container,1024,58.09,77.94,docker_stats_container_only
2026-06-11T11:28:10Z,m1_dockerdesktop,container,1024,60.11,77.94,docker_stats_container_only
2026-06-11T11:28:12Z,m1_dockerdesktop,container,1024,62.14,77.94,docker_stats_container_only
2026-06-11T11:44:28Z,m1_dockerdesktop,container,1024,64.18,77.94,docker_stats_container_only
2026-06-11T11:44:30Z,m1_dockerdesktop,container,1024,66.19,77.94,docker_stats_container_only
2026-06-11T12:02:08Z,m1_dockerdesktop,container,1024,68.27,77.94,docker_stats_container_only
2026-06-11T12:02:10Z,m1_dockerdesktop,container,1024,70.24,77.94,docker_stats_container_only
2026-06-11T12:02:12Z,m1_dockerdesktop,container,1024,72.25,77.94,docker_stats_container_only
2026-06-11T12:15:54Z,m1_dockerdesktop,container,1024,74.37,77.94,docker_stats_container_only
2026-06-11T12:15:56Z,m1_dockerdesktop,container,1024,76.39,77.94,docker_stats_container_only
2026-06-11T12:15:58Z,m1_dockerdesktop,container,1024,78.4,77.94,docker_stats_container_only
2026-06-11T12:16:00Z,m1_dockerdesktop,container,1024,80.45,77.94,docker_stats_container_only
2026-06-11T12:16:02Z,m1_dockerdesktop,container,1024,82.47,77.94,docker_stats_container_only
2026-06-11T12:16:04Z,m1_dockerdesktop,container,1024,84.48,77.94,docker_stats_container_only
2026-06-11T12:16:06Z,m1_dockerdesktop,container,1024,86.5,77.94,docker_stats_container_only
2026-06-11T12:16:08Z,m1_dockerdesktop,container,1024,88.51,77.94,docker_stats_container_only
2026-06-11T12:16:10Z,m1_dockerdesktop,container,1024,90.52,77.94,docker_stats_container_only
2026-06-11T12:16:12Z,m1_dockerdesktop,container,1024,92.55,77.94,docker_stats_container_only
2026-06-11T12:16:14Z,m1_dockerdesktop,container,1024,94.56,77.94,docker_stats_container_only
2026-06-11T12:16:16Z,m1_dockerdesktop,container,1024,96.58,77.94,docker_stats_container_only
2026-06-11T12:16:18Z,m1_dockerdesktop,container,1024,98.6,77.94,docker_stats_container_only
2026-06-11T12:16:20Z,m1_dockerdesktop,container,1024,100.62,77.94,docker_stats_container_only
2026-06-11T12:16:23Z,m1_dockerdesktop,container,1024,102.63,77.94,docker_stats_container_only
