timestamp,mode,elapsed_s,memory_mb,measurement_scope
2026-04-17T11:21:49.028,container,1.68,30.87,docker_stats_container_only_excludes_host_vm
2026-04-17T11:21:51.590,container,4.24,30.2,docker_stats_container_only_excludes_host_vm
2026-04-17T11:21:54.165,container,6.82,29.95,docker_stats_container_only_excludes_host_vm
2026-04-17T11:21:57.687,container,10.34,29.95,docker_stats_container_only_excludes_host_vm
2026-04-17T11:22:00.515,container,13.17,29.95,docker_stats_container_only_excludes_host_vm
2026-04-17T11:22:03.155,container,15.81,29.95,docker_stats_container_only_excludes_host_vm
2026-04-17T11:22:05.944,container,18.6,29.95,docker_stats_container_only_excludes_host_vm
2026-04-17T11:22:08.980,container,21.63,29.95,docker_stats_container_only_excludes_host_vm
2026-04-17T11:22:11.563,container,24.22,29.95,docker_stats_container_only_excludes_host_vm
2026-04-17T11:22:14.138,container,26.79,29.95,docker_stats_container_only_excludes_host_vm
2026-04-17T11:22:17.752,container,30.41,29.95,docker_stats_container_only_excludes_host_vm
