timestamp,platform,mode,payload_size_kb,elapsed_s,memory_mb,measurement_scope
2026-06-08T18:30:22Z,m1_dockerdesktop,process,1024,0.0,57.0,host_process_tree_rss
2026-06-08T18:30:23Z,m1_dockerdesktop,process,1024,1.01,58.969,host_process_tree_rss
2026-06-08T18:30:24Z,m1_dockerdesktop,process,1024,2.02,59.0,host_process_tree_rss
2026-06-08T18:30:25Z,m1_dockerdesktop,process,1024,3.03,57.359,host_process_tree_rss
2026-06-08T18:30:26Z,m1_dockerdesktop,process,1024,4.04,37.656,host_process_tree_rss
2026-06-08T18:30:27Z,m1_dockerdesktop,process,1024,5.05,37.656,host_process_tree_rss
2026-06-08T18:30:28Z,m1_dockerdesktop,process,1024,6.05,37.656,host_process_tree_rss
2026-06-08T18:30:29Z,m1_dockerdesktop,process,1024,7.06,37.656,host_process_tree_rss
2026-06-08T18:30:30Z,m1_dockerdesktop,process,1024,8.07,37.656,host_process_tree_rss
2026-06-08T18:30:31Z,m1_dockerdesktop,process,1024,9.07,37.656,host_process_tree_rss
2026-06-08T18:30:32Z,m1_dockerdesktop,process,1024,10.08,37.656,host_process_tree_rss
2026-06-08T18:30:33Z,m1_dockerdesktop,process,1024,11.09,37.656,host_process_tree_rss
2026-06-08T18:30:34Z,m1_dockerdesktop,process,1024,12.1,37.656,host_process_tree_rss
2026-06-08T18:30:35Z,m1_dockerdesktop,process,1024,13.1,37.656,host_process_tree_rss
2026-06-08T18:30:36Z,m1_dockerdesktop,process,1024,14.11,37.656,host_process_tree_rss
2026-06-08T18:30:37Z,m1_dockerdesktop,process,1024,15.12,37.656,host_process_tree_rss
2026-06-08T18:30:38Z,m1_dockerdesktop,process,1024,16.13,37.656,host_process_tree_rss
2026-06-08T18:30:39Z,m1_dockerdesktop,process,1024,17.14,37.656,host_process_tree_rss
2026-06-08T18:30:40Z,m1_dockerdesktop,process,1024,18.14,37.656,host_process_tree_rss
2026-06-08T18:30:41Z,m1_dockerdesktop,process,1024,19.15,37.656,host_process_tree_rss
2026-06-08T18:30:42Z,m1_dockerdesktop,process,1024,20.16,37.656,host_process_tree_rss
2026-06-08T18:30:43Z,m1_dockerdesktop,process,1024,21.17,37.656,host_process_tree_rss
2026-06-08T18:30:44Z,m1_dockerdesktop,process,1024,22.18,37.656,host_process_tree_rss
2026-06-08T18:30:45Z,m1_dockerdesktop,process,1024,23.19,37.641,host_process_tree_rss
2026-06-08T18:30:46Z,m1_dockerdesktop,process,1024,24.2,37.641,host_process_tree_rss
2026-06-08T18:30:47Z,m1_dockerdesktop,process,1024,25.2,37.641,host_process_tree_rss
2026-06-08T18:30:48Z,m1_dockerdesktop,process,1024,26.22,37.641,host_process_tree_rss
2026-06-08T18:30:49Z,m1_dockerdesktop,process,1024,27.23,37.609,host_process_tree_rss
2026-06-08T18:30:50Z,m1_dockerdesktop,process,1024,28.24,37.609,host_process_tree_rss
2026-06-08T18:30:51Z,m1_dockerdesktop,process,1024,29.24,37.609,host_process_tree_rss
2026-06-08T18:30:52Z,m1_dockerdesktop,process,1024,30.25,37.609,host_process_tree_rss
2026-06-08T18:30:54Z,m1_dockerdesktop,process,1024,31.26,37.609,host_process_tree_rss
2026-06-08T18:30:55Z,m1_dockerdesktop,process,1024,32.27,12.781,host_process_tree_rss
