timestamp,platform,mode,payload_size_kb,elapsed_s,memory_mb,measurement_scope
2026-06-08T18:56:26Z,m1_dockerdesktop,container,1024,1.55,30.61,docker_stats_container_only
2026-06-08T18:56:28Z,m1_dockerdesktop,container,1024,3.56,30.26,docker_stats_container_only
2026-06-08T18:56:30Z,m1_dockerdesktop,container,1024,5.57,30.49,docker_stats_container_only
2026-06-08T18:56:32Z,m1_dockerdesktop,container,1024,7.59,29.98,docker_stats_container_only
2026-06-08T18:56:34Z,m1_dockerdesktop,container,1024,9.6,29.98,docker_stats_container_only
2026-06-08T18:56:36Z,m1_dockerdesktop,container,1024,11.61,29.98,docker_stats_container_only
2026-06-08T18:56:38Z,m1_dockerdesktop,container,1024,13.61,29.98,docker_stats_container_only
2026-06-08T18:56:40Z,m1_dockerdesktop,container,1024,15.63,29.98,docker_stats_container_only
2026-06-08T18:56:42Z,m1_dockerdesktop,container,1024,17.63,29.98,docker_stats_container_only
2026-06-08T18:56:44Z,m1_dockerdesktop,container,1024,19.65,29.98,docker_stats_container_only
2026-06-08T18:56:46Z,m1_dockerdesktop,container,1024,21.66,29.98,docker_stats_container_only
2026-06-08T18:56:48Z,m1_dockerdesktop,container,1024,23.67,29.98,docker_stats_container_only
2026-06-08T18:56:50Z,m1_dockerdesktop,container,1024,25.68,29.98,docker_stats_container_only
2026-06-08T18:56:52Z,m1_dockerdesktop,container,1024,27.7,29.98,docker_stats_container_only
2026-06-08T18:56:54Z,m1_dockerdesktop,container,1024,29.72,29.98,docker_stats_container_only
2026-06-08T18:56:56Z,m1_dockerdesktop,container,1024,31.74,29.98,docker_stats_container_only
2026-06-08T18:56:58Z,m1_dockerdesktop,container,1024,33.74,29.98,docker_stats_container_only
2026-06-08T18:57:00Z,m1_dockerdesktop,container,1024,35.76,29.98,docker_stats_container_only
2026-06-08T18:57:02Z,m1_dockerdesktop,container,1024,37.77,29.98,docker_stats_container_only
2026-06-08T18:57:04Z,m1_dockerdesktop,container,1024,39.77,29.98,docker_stats_container_only
2026-06-08T18:57:06Z,m1_dockerdesktop,container,1024,41.79,29.98,docker_stats_container_only
2026-06-08T18:57:08Z,m1_dockerdesktop,container,1024,43.79,29.98,docker_stats_container_only
2026-06-08T18:57:10Z,m1_dockerdesktop,container,1024,45.8,29.98,docker_stats_container_only
2026-06-08T18:57:12Z,m1_dockerdesktop,container,1024,47.81,29.98,docker_stats_container_only
2026-06-08T18:57:14Z,m1_dockerdesktop,container,1024,49.83,29.98,docker_stats_container_only
2026-06-08T18:57:16Z,m1_dockerdesktop,container,1024,51.84,29.98,docker_stats_container_only
2026-06-08T18:57:18Z,m1_dockerdesktop,container,1024,53.86,29.98,docker_stats_container_only
2026-06-08T18:57:20Z,m1_dockerdesktop,container,1024,55.87,29.98,docker_stats_container_only
2026-06-08T18:57:22Z,m1_dockerdesktop,container,1024,57.89,29.98,docker_stats_container_only
2026-06-08T18:57:24Z,m1_dockerdesktop,container,1024,59.9,30.23,docker_stats_container_only
2026-06-08T18:57:26Z,m1_dockerdesktop,container,1024,61.92,29.98,docker_stats_container_only
